Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude,new_color_1,new_color_2,density
1,1.0,4,2,3,3,3,2,2,1,37.66857995,-120.9733792,8,0,1362.5
1,1.0,4,2,2,3,3,2,3,0,30.6511155,-97.02031287,5,0,933.5
1,1.0,3,2,3,1,2,2,1,2,43.0444216,-91.13740101,7,0,2372.2
1,1.0,2,2,2,1,1,1,1,2,36.3701311,-100.7987237,7,0,1172.4
1,1.0,4,1,3,2,2,2,1,1,31.33385155,-93.86307272,9,0,2464.0
1,1.0,4,2,3,3,1,2,2,2,33.8143526,-98.19845817,7,0,1859.8
1,1.0,2,3,1,1,1,2,1,2,42.33522635,-122.8668797,5,0,183.5
1,1.0,2,2,1,1,1,2,1,2,28.8500954,-97.87801335,2,0,1333.0
1,1.0,3,2,2,2,1,2,1,2,30.7331706,-98.23611725,1,0,2672.8
1,1.0,4,2,3,2,3,2,1,2,33.7198045,-102.75753,8,0,710.3
0,1.0,2,2,0,2,1,2,0,0,33.03355975,-94.95939872,5,0,1038.8
1,1.0,2,3,3,2,1,2,1,1,35.6548488,-101.4088718,9,0,1293.9
1,1.0,3,1,1,1,3,2,1,1,33.57834435,-96.16630407,3,0,3184.7
1,1.0,4,2,2,3,3,2,1,2,29.6730456,-97.65468238,0,0,785.0
1,1.0,2,2,2,3,1,2,1,2,34.22138705,-102.7289812,2,0,1132.8
1,1.0,4,1,3,2,2,2,2,2,31.593764,-102.8834875,7,0,1104.6
1,1.0,2,2,2,2,1,2,1,2,30.5912354,-97.41495555,1,0,72.2
1,1.0,3,3,3,3,1,2,1,3,30.0690305,-94.79884038,9,0,605.9
1,1.0,4,1,3,3,1,2,3,2,29.4574864,-96.93819146,5,0,4163.8
1,1.0,2,2,1,1,1,2,2,1,30.38413605,-103.6703299,7,0,5239.1
1,1.0,4,1,1,3,1,1,1,2,31.4347463,-97.77989848,9,0,4231.9
1,1.0,3,2,3,2,1,2,1,0,32.9447327,-95.30714286,2,0,1577.1
1,1.0,2,3,2,2,1,2,1,3,31.98443565,-98.56189185,8,0,1038.8
0,1.0,2,2,1,2,1,2,2,1,32.6874145,-100.9173067,1,0,2041.1
1,1.0,3,2,2,1,2,2,1,2,31.776399,-97.5893471,5,0,235.9
1,1.0,2,1,2,1,1,1,1,2,43.0444216,-91.13740101,9,0,379.1
1,1.0,3,2,1,3,1,2,2,2,29.2142047,-99.76830687,7,0,1336.1
1,1.0,3,2,2,3,2,2,3,0,30.1723724,-95.4606595,9,0,1386.3
1,1.0,1,2,1,2,1,2,1,2,32.79143955,-96.78327174,1,0,3020.6
1,1.0,3,2,3,2,1,2,1,2,45.50113735,-122.6843833,5,0,1532.6
1,1.0,4,2,3,2,2,2,2,3,45.50113735,-122.6843833,8,0,2672.8
0,1.0,3,3,1,3,2,2,1,2,31.771455,-106.4339563,7,0,605.9
